Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,3,65.0,8450,1,0,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,1,196.0,2,4,2,2,3,3,2,706,5,0,150,856,1,0,1,4,856,854,0,1710,1,0,2,1,3,1,2,8,6,0,2,1,2003.0,1,2,548,4,4,2,0,61,0,0,0,0,2,2,2,0,2,2008,8,4,208500
32,20,3,69.0,8544,1,0,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,1,0.0,3,4,1,3,3,3,5,0,5,0,1228,1228,1,2,1,4,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,2,1,1966.0,2,1,271,4,4,2,0,65,0,0,0,0,2,2,2,0,6,2008,8,4,149350
50,20,3,66.0,7742,1,0,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,1,0.0,3,4,1,3,3,3,1,763,5,0,192,955,1,0,1,4,955,0,0,955,1,0,1,0,3,1,3,6,6,0,2,1,1966.0,2,1,386,4,4,2,0,0,0,0,0,0,2,2,2,0,1,2007,8,4,127000
58,60,3,89.0,11645,1,0,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,1,0.0,2,4,2,2,3,3,5,0,5,0,860,860,1,0,1,4,860,860,0,1720,0,0,2,1,3,1,2,7,6,0,2,1,2004.0,1,2,565,4,4,2,0,70,0,0,0,0,2,2,2,0,8,2006,8,4,196500
72,20,3,69.0,7599,1,0,3,3,0,0,0,11,2,2,0,2,4,6,1982,2006,1,1,6,10,1,0.0,3,4,1,3,3,3,0,565,5,0,280,845,1,4,1,4,845,0,0,845,1,0,1,0,2,1,3,4,6,0,2,5,1987.0,2,2,360,4,4,2,0,0,0,0,0,0,2,2,2,0,6,2007,8,4,129500
90,20,3,60.0,8070,1,0,3,3,0,4,0,5,2,2,0,2,4,5,1994,1995,1,1,12,13,1,0.0,3,4,2,2,3,3,2,588,5,0,402,990,1,0,1,4,990,0,0,990,1,0,1,0,3,1,3,5,6,0,2,1,1980.0,2,0,0,4,4,2,0,0,0,0,0,0,2,2,2,0,8,2007,8,4,123600
104,20,3,94.0,10402,1,0,0,3,0,0,0,5,2,2,0,2,7,5,2009,2009,1,1,12,13,1,0.0,3,4,2,2,3,3,5,0,5,0,1226,1226,1,0,1,4,1226,0,0,1226,0,0,2,0,3,1,2,6,6,0,2,1,2009.0,1,3,740,4,4,2,0,36,0,0,0,0,2,2,2,0,5,2010,8,4,198900
133,20,3,75.0,7388,1,0,3,3,0,0,0,12,2,2,0,2,5,6,1959,2002,1,1,8,8,1,0.0,3,4,1,3,3,3,4,405,5,0,658,1063,1,2,1,4,1327,0,0,1327,1,0,1,0,3,1,2,7,6,0,2,5,1974.0,2,2,624,4,4,2,0,0,0,0,0,0,2,2,2,0,7,2007,8,4,150750
140,60,3,65.0,15426,1,0,0,3,0,4,0,5,2,2,0,5,6,5,1997,1997,1,1,12,13,1,0.0,3,4,2,2,3,3,2,821,5,0,107,928,1,0,1,4,928,836,0,1764,1,0,2,1,3,1,2,7,6,0,2,1,1997.0,1,2,470,4,4,2,276,99,0,0,0,0,2,2,2,0,8,2009,8,4,231500
144,20,3,78.0,10335,1,0,0,3,0,4,0,5,2,2,0,2,7,5,1999,1999,1,1,12,13,1,183.0,2,4,2,2,3,1,2,679,5,0,811,1490,1,0,1,4,1501,0,0,1501,1,0,2,0,3,1,2,6,6,0,2,1,1999.0,1,2,577,4,4,2,144,29,0,0,0,0,2,2,2,0,6,2009,8,4,204000
